Sample_Ref,Gene_A,Gene_B,Gene_C
PT_01,2.389247856545262,5.902008370729163,1.1
PT_02,2.4181980372872203,4.883143236511387,1.3
PT_03,1.5719813952222466,5.1934392338152975,9.8
PT_04,2.2795819138875233,5.910021784133278,1
PT_05,2.0342691745609045,5.967339642578736,10.2
PT_06,1.8748247338691726,4.676231042481959,1.2
PT_07,10.304400269780308,4.854994746809825,8.9
PT_08,8.257866430608555,5.008598943240941,9.5
PT_09,10.033773787366226,5.627256497135386,11
PT_10,10.197220265725626,4.249678301904351,10.1
PT_11,9.356322039244697,5.780005112057552,9.2
PT_12,10.244981655618176,5.7040028186049305,10.5
